ImageName,Frame,Timestamp,x,y,w,h
f (5).jpg,0,2024_06_01_15-27-20.858,443,248,69,56
m (2).jpg,0,2024_06_01_15-27-20.861,279,224,68,45
v (3).jpg,0,2024_06_01_15-27-20.863,146,149,64,41
b (1).jpg,0,2024_06_01_15-27-20.864,256,118,64,66
f (3).jpg,0,2024_06_01_15-27-20.865,53,111,43,73
m (2).jpg,0,2024_06_01_15-27-20.866,468,89,52,68
v (4).jpg,0,2024_06_01_15-27-20.867,233,58,69,44
b (5).jpg,0,2024_06_01_15-27-20.868,371,48,69,41
f (4).jpg,0,2024_06_01_15-27-20.871,60,30,69,60
f (2).jpg,1,2024_06_01_15-27-21.825,440,258,61,42
m (2).jpg,1,2024_06_01_15-27-21.827,276,226,60,38
v (4).jpg,1,2024_06_01_15-27-21.828,142,156,58,36
b (2).jpg,1,2024_06_01_15-27-21.829,276,134,44,42
f (3).jpg,1,2024_06_01_15-27-21.829,58,111,38,52
m (3).jpg,1,2024_06_01_15-27-21.830,481,104,39,55
v (4).jpg,1,2024_06_01_15-27-21.831,247,63,58,37
b (5).jpg,1,2024_06_01_15-27-21.831,380,48,69,38
f (4).jpg,1,2024_06_01_15-27-21.832,66,34,72,42
f (5).jpg,2,2024_06_01_15-27-22.389,434,267,52,33
m (2).jpg,2,2024_06_01_15-27-22.390,270,228,50,36
v (3).jpg,2,2024_06_01_15-27-22.390,130,156,57,36
b (1).jpg,2,2024_06_01_15-27-22.391,280,136,56,41
f (2).jpg,2,2024_06_01_15-27-22.393,484,115,35,56
m (3).jpg,2,2024_06_01_15-27-22.393,62,99,34,57
v (4).jpg,2,2024_06_01_15-27-22.395,260,65,53,33
b (4).jpg,2,2024_06_01_15-27-22.396,398,51,50,33
f (4).jpg,2,2024_06_01_15-27-22.397,82,27,59,45
f (3).jpg,3,2024_06_01_15-27-22.915,394,270,56,34
m (2).jpg,3,2024_06_01_15-27-22.918,226,224,67,44
v (3).jpg,3,2024_06_01_15-27-22.919,97,157,60,43
b (2).jpg,3,2024_06_01_15-27-22.931,312,146,56,38
f (1).jpg,3,2024_06_01_15-27-22.932,484,144,42,61
m (2).jpg,3,2024_06_01_15-27-22.933,64,64,49,60
v (3).jpg,3,2024_06_01_15-27-22.934,288,60,61,44
b (5).jpg,3,2024_06_01_15-27-22.934,434,56,48,46
f (5).jpg,3,2024_06_01_15-27-22.935,112,22,60,36
f (5).jpg,4,2024_06_01_15-27-23.458,362,260,58,36
m (2).jpg,4,2024_06_01_15-27-23.459,193,231,63,41
v (4).jpg,4,2024_06_01_15-27-23.460,483,183,40,53
b (2).jpg,4,2024_06_01_15-27-23.461,352,144,62,36
f (1).jpg,4,2024_06_01_15-27-23.462,67,134,54,50
m (3).jpg,4,2024_06_01_15-27-23.467,458,69,47,58
v (3).jpg,4,2024_06_01_15-27-23.470,327,56,61,40
b (4).jpg,4,2024_06_01_15-27-23.472,84,38,48,58
f (1).jpg,4,2024_06_01_15-27-23.475,149,24,67,40
f (5).jpg,5,2024_06_01_15-27-24.005,332,245,55,47
m (2).jpg,5,2024_06_01_15-27-24.008,160,240,61,39
v (3).jpg,5,2024_06_01_15-27-24.009,464,219,42,49
b (2).jpg,5,2024_06_01_15-27-24.015,384,135,57,35
f (4).jpg,5,2024_06_01_15-27-24.017,481,104,39,56
m (2).jpg,5,2024_06_01_15-27-24.020,56,104,41,62
v (3).jpg,5,2024_06_01_15-27-24.021,359,50,64,39
b (4).jpg,5,2024_06_01_15-27-24.022,180,32,63,41
f (4).jpg,5,2024_06_01_15-27-24.023,109,24,59,47
f (1).jpg,6,2024_06_01_15-27-24.549,126,241,58,35
m (2).jpg,6,2024_06_01_15-27-24.551,438,239,53,54
v (3).jpg,6,2024_06_01_15-27-24.552,293,232,69,40
b (2).jpg,6,2024_06_01_15-27-24.553,488,139,36,53
f (1).jpg,6,2024_06_01_15-27-24.553,416,127,64,41
m (3).jpg,6,2024_06_01_15-27-24.554,52,74,40,53
v (4).jpg,6,2024_06_01_15-27-24.555,399,49,57,34
b (5).jpg,6,2024_06_01_15-27-24.555,213,44,59,44
f (3).jpg,6,2024_06_01_15-27-24.556,140,20,62,39
f (5).jpg,7,2024_06_01_15-27-25.077,404,269,54,34
m (3).jpg,7,2024_06_01_15-27-25.080,264,229,56,35
v (3).jpg,7,2024_06_01_15-27-25.087,100,224,45,48
b (1).jpg,7,2024_06_01_15-27-25.092,480,168,40,62
f (3).jpg,7,2024_06_01_15-27-25.093,455,128,49,48
m (2).jpg,7,2024_06_01_15-27-25.096,244,63,56,39
v (3).jpg,7,2024_06_01_15-27-25.096,435,56,47,48
b (2).jpg,7,2024_06_01_15-27-25.098,60,45,45,52
f (5).jpg,7,2024_06_01_15-27-25.099,177,22,59,45
f (4).jpg,8,2024_06_01_15-27-25.645,368,271,57,33
m (3).jpg,8,2024_06_01_15-27-25.649,230,224,62,41
v (4).jpg,8,2024_06_01_15-27-25.656,78,204,49,52
b (4).jpg,8,2024_06_01_15-27-25.662,469,200,43,59
f (4).jpg,8,2024_06_01_15-27-25.665,476,149,45,68
m (2).jpg,8,2024_06_01_15-27-25.667,456,69,48,60
v (4).jpg,8,2024_06_01_15-27-25.669,280,65,61,36
b (2).jpg,8,2024_06_01_15-27-25.675,206,36,52,45
f (3).jpg,8,2024_06_01_15-27-25.677,80,24,60,46
f (1).jpg,9,2024_06_01_15-27-26.193,337,258,49,40
m (2).jpg,9,2024_06_01_15-27-26.196,448,231,43,51
v (3).jpg,9,2024_06_01_15-27-26.199,199,231,54,41
b (1).jpg,9,2024_06_01_15-27-26.201,488,183,41,58
f (1).jpg,9,2024_06_01_15-27-26.202,61,169,38,53
m (2).jpg,9,2024_06_01_15-27-26.203,480,104,39,56
v (4).jpg,9,2024_06_01_15-27-26.204,316,57,60,37
b (2).jpg,9,2024_06_01_15-27-26.206,232,57,45,54
f (3).jpg,9,2024_06_01_15-27-26.208,112,21,57,39
f (1).jpg,10,2024_06_01_15-27-26.734,408,258,64,44
m (3).jpg,10,2024_06_01_15-27-26.736,165,240,54,36
v (4).jpg,10,2024_06_01_15-27-26.739,312,237,50,49
b (5).jpg,10,2024_06_01_15-27-26.743,482,220,46,52
f (1).jpg,10,2024_06_01_15-27-26.745,488,140,32,52
m (3).jpg,10,2024_06_01_15-27-26.746,56,135,35,53
v (4).jpg,10,2024_06_01_15-27-26.751,245,91,41,53
b (5).jpg,10,2024_06_01_15-27-26.754,351,54,59,37
f (1).jpg,10,2024_06_01_15-27-26.765,150,26,57,37
f (4).jpg,11,2024_06_01_15-27-27.283,383,268,57,39
m (2).jpg,11,2024_06_01_15-27-27.284,457,252,53,44
v (3).jpg,11,2024_06_01_15-27-27.287,127,242,57,35
b (4).jpg,11,2024_06_01_15-27-27.288,304,196,37,56
f (2).jpg,11,2024_06_01_15-27-27.289,482,170,38,54
m (2).jpg,11,2024_06_01_15-27-27.291,259,120,56,50
v (4).jpg,11,2024_06_01_15-27-27.293,61,102,36,54
b (2).jpg,11,2024_06_01_15-27-27.304,380,48,60,40
f (4).jpg,11,2024_06_01_15-27-27.305,181,32,55,40
m (2).jpg,0,2024_06_01_15-27-37.507,443,248,69,56
v (4).jpg,0,2024_06_01_15-27-37.508,279,224,68,45
b (5).jpg,0,2024_06_01_15-27-37.509,146,149,64,41
f (5).jpg,0,2024_06_01_15-27-37.510,256,118,64,66
m (3).jpg,0,2024_06_01_15-27-37.512,53,111,43,73
v (4).jpg,0,2024_06_01_15-27-37.513,468,89,52,68
b (1).jpg,0,2024_06_01_15-27-37.513,233,58,69,44
f (1).jpg,0,2024_06_01_15-27-37.514,371,48,69,41
